"date","year","month","day","county","state","fips","cases","deaths","population","cases_per100k","deaths_per100k","daily_case_count","daily_death_count","datatype","station","fl_m","fl_q","fl_so","fl_t","temp","temp_from_median","location"
2020-05-01,2020,5,1,"Shelby","Tennessee","47157",2599,51,937005,277.373119673854,5.44287383738614,9.81851751057889,0.426892065677344,"TAVG","GHCND:USW00013893","H","","S","",18.3,2.7,"Shelby County, TN"
2020-05-02,2020,5,2,"Shelby","Tennessee","47157",2672,55,937005,285.163899872466,5.86976590306348,7.79078019861157,0.426892065677345,"TAVG","GHCND:USW00013893","H","","S","",21.6,0.600000000000001,"Shelby County, TN"
2020-05-03,2020,5,3,"Shelby","Tennessee","47157",2815,55,937005,300.425291220431,5.86976590306348,15.2613913479651,0,"TAVG","GHCND:USW00013893","H","","S","",22.3,1.3,"Shelby County, TN"
2020-05-04,2020,5,4,"Shelby","Tennessee","47157",2878,58,937005,307.148841254849,6.18993495232149,6.72355003441817,0.320169049258007,"TAVG","GHCND:USW00013893","H","","S","",22.9,1.9,"Shelby County, TN"
2020-05-05,2020,5,5,"Shelby","Tennessee","47157",2922,60,937005,311.8446539773,6.40338098516016,4.6958127224508,0.213446032838672,"TAVG","GHCND:USW00013893","H","","S","",22.4,1.4,"Shelby County, TN"
2020-05-06,2020,5,6,"Shelby","Tennessee","47157",3010,64,937005,321.236279422202,6.83027305083751,9.39162544490154,0.426892065677344,"TAVG","GHCND:USW00013893","H","","S","",16.2,4.8,"Shelby County, TN"
2020-05-07,2020,5,7,"Shelby","Tennessee","47157",3066,64,937005,327.212768341684,6.83027305083751,5.97648891948285,0,"TAVG","GHCND:USW00013893","H","","S","",14.7,6.3,"Shelby County, TN"
2020-05-08,2020,5,8,"Shelby","Tennessee","47157",3113,67,937005,332.228750113393,7.15044210009552,5.01598177170882,0.320169049258008,"TAVG","GHCND:USW00013893","H","","S","",16.5,4.5,"Shelby County, TN"
2020-05-09,2020,5,9,"Shelby","Tennessee","47157",3189,68,937005,340.339699361263,7.25716511651485,8.11094924786948,0.106723016419336,"TAVG","GHCND:USW00013893","H","","S","",13.7,7.3,"Shelby County, TN"
2020-05-10,2020,5,10,"Shelby","Tennessee","47157",3260,68,937005,347.917033527036,7.25716511651485,7.57733416577287,0,"TAVG","GHCND:USW00013893","H","","S","",15.4,5.6,"Shelby County, TN"
2020-05-11,2020,5,11,"Shelby","Tennessee","47157",3372,70,937005,359.870011366001,7.47061114935353,11.9529778389657,0.213446032838673,"TAVG","GHCND:USW00013893","H","","S","",15.8,5.2,"Shelby County, TN"
2020-05-12,2020,5,12,"Shelby","Tennessee","47157",3429,73,937005,365.953223301903,7.79078019861153,6.08321193590217,0.320169049258007,"TAVG","GHCND:USW00013893","H","","S","",12,9,"Shelby County, TN"
2020-05-13,2020,5,13,"Shelby","Tennessee","47157",3475,76,937005,370.862482057193,8.11094924786954,4.90925875528944,0.320169049258008,"TAVG","GHCND:USW00013893","H","","S","",18.4,2.6,"Shelby County, TN"
2020-05-14,2020,5,14,"Shelby","Tennessee","47157",3542,81,937005,378.012924157288,8.64456432996622,7.15044210009546,0.533615082096681,"TAVG","GHCND:USW00013893","H","","S","",23.6,2.6,"Shelby County, TN"
2020-05-15,2020,5,15,"Shelby","Tennessee","47157",3595,82,937005,383.669244027513,8.75128734638556,5.65631987022482,0.106723016419336,"TAVG","GHCND:USW00013893","H","","S","",23.1,2.1,"Shelby County, TN"
2020-05-16,2020,5,16,"Shelby","Tennessee","47157",3681,85,937005,392.847423439576,9.07145639564357,9.17817941206295,0.320169049258009,"TAVG","GHCND:USW00013893","H","","S","",23.8,2.8,"Shelby County, TN"
2020-05-17,2020,5,17,"Shelby","Tennessee","47157",3726,85,937005,397.649959178446,9.07145639564357,4.80253573887012,0,"TAVG","GHCND:USW00013893","H","","S","",24.7,3.7,"Shelby County, TN"
2020-05-18,2020,5,18,"Shelby","Tennessee","47157",3846,87,937005,410.456721148767,9.28490242848224,12.8067619703203,0.213446032838672,"TAVG","GHCND:USW00013893","H","","S","",21.7,0.699999999999999,"Shelby County, TN"
2020-05-19,2020,5,19,"Shelby","Tennessee","47157",3936,88,937005,420.061792626507,9.39162544490157,9.60507147774024,0.106723016419336,"TAVG","GHCND:USW00013893","H","","S","",17.8,3.2,"Shelby County, TN"
2020-05-20,2020,5,20,"Shelby","Tennessee","47157",4005,88,937005,427.425680759441,9.39162544490157,7.36388813293411,0,"TAVG","GHCND:USW00013893","H","","S","",19.4,1.6,"Shelby County, TN"
2020-05-21,2020,5,21,"Shelby","Tennessee","47157",4034,91,937005,430.520648235602,9.71179449415958,3.09496747616078,0.320169049258009,"TAVG","GHCND:USW00013893","H","","S","",21.1,0.100000000000001,"Shelby County, TN"
2020-05-22,2020,5,22,"Shelby","Tennessee","47157",4127,92,937005,440.4458887626,9.81851751057892,9.92524052699827,0.106723016419334,"TAVG","GHCND:USW00013893","H","","S","",23.5,2.5,"Shelby County, TN"
2020-05-23,2020,5,23,"Shelby","Tennessee","47157",4225,92,937005,450.904744371695,9.81851751057892,10.4588556090949,0,"TAVG","GHCND:USW00013893","H","","S","",24.2,3.2,"Shelby County, TN"
2020-05-24,2020,5,24,"Shelby","Tennessee","47157",4336,94,937005,462.750999194241,10.0319635434176,11.8462548225463,0.213446032838673,"TAVG","GHCND:USW00013893","H","","S","",25.6,4.6,"Shelby County, TN"
2020-05-25,2020,5,25,"Shelby","Tennessee","47157",4451,94,937005,475.024146082465,10.0319635434176,12.2731468882237,0,"TAVG","GHCND:USW00013893","H","","S","",26.9,5.9,"Shelby County, TN"
2020-05-26,2020,5,26,"Shelby","Tennessee","47157",4531,96,937005,483.561987396012,10.2454095762563,8.53784131354695,0.213446032838673,"TAVG","GHCND:USW00013893","H","","S","",25.8,4.8,"Shelby County, TN"
